,Unnamed: 0,corrected,RID,smiles,fragment_fp,fragment_fp2
0,0,,R0000000233,*CC(*)C1=NC(C)(C)C(=O)O1,01110010000101000001001000010100000101010000000000000001100001000000000000100000000000010011000001000000000100101000001001010000000000000000100001000100000000100000000010000110000001100010000000000000000010000000100011010100001001000010010001000000100001000000010101000011000010000100111001100000000010000000100001000010000010000000000011000000001000100000000000000000000000010111100001000100000110000011000001000000111000110000000110000010011000000110010000001100000000001000000000000110000000000000000001100010000000000001010010000000110000000110011100000000001000100000000100000100000100000001100000000100001000100000011000000010010100001010000100001000000000110010000000001011010000000000010000101001000011101000101000000000011001000000010100100000000001000000001000010000000000000000001100000000000000000010101001000000010000100000001000000100011000010001011000000110100110001100000000010001000000101101000001100000000000100110110001000000000000001000000000000101011000010110011100000011010000110000000100000000000000100000001100001001001101100111000000110001000100000111000000000100010110010000100001010000100010100100000000001100000010000100101101000000010000100100000000101001010000010100000000000110010000000100000011000001110001001100001000000000011000101110000000110000100000000101110000101010000110000000000000000011010000000011100001000100001010000000000000000010000010100001010100001001000001111100001010100000010100100110100000100100011000011010101100000001100100110000000101000001100110001000000010100000000000100010100100000001001000010100000000000000100010100100011000001000000010100100000000000000100000000000001010000000010000010001101000000100000001000010000110010000010000000001001000000011000000010010000011100010000000110010100010010000010010000000100010000001010000000000000100001000100001000000000001001000011000011000000000000000001010000000011001010000100000010000000000000100000100000001000000000001001000000000010000000000000110111001010000000000010000110000000110001000001100010000000100000100000000000011001100010001,"[2, 12, 1]"
1,1,,R0000000234,*CC(*)(C)C1=NC(C)(C)C(=O)O1,01110010000101100001001000010100000101010000000000000001100001000000000000100000000000011011000001000100000100101000011001010000000000000000100001000100000000100000000010000110000001100010100000000000100010000000100011010100001001000010010011000000100101000000010101001011000010001100111001100001000010000000100001001010000010000100000111001000001000100000000000100000000000010111100001000100000110000011100001000000111000110000000110000010011000000111010000001100000000001010000000100110000000000000000001100010000000000001010010000000110000010110011100000000011000110000000100000100000100000001100000000100001000101000011000000010010100001010000100001010000000110010000001001011010000000000010000101001000011101000111000000000111001000000010100101000000011000000001000010000000000000000101100000000100000000010101001000011010000100000101000000100011000010001011000001110100110001100000000010001000000101101000101100000000000100110110001000000000000001100000000000101011000010110011100000011010000110010000100000000000000100000001100001001101101100111000010110001000100011111000000000100010110010001100001010000100010100101000100001100000010000100101101000000010000100100000000101001010000010100001000000110010000000101000011000001110101001100001000000000011000101110000000110000100000000101110000101010000110000000001000000011010000000011100001000100001010000000000000000010000010100011010100001001000001111100001010100000010100100110101000100100011000011010101100000001100110110000000101000001100110011000000010100000000000100010100100000001001000010110000000000000100010100100011000001000000010100100000000000100100000000000001010000000010000010001101000001100000001000010000110010000010000000001001000000011000001010011000011100010000000110010100010010000010010000000100010000001010000000000000100001000100001000000000001001000011000011000000000000000001010000000011001010000100000010000000001000100000101000001000000000001001000000000010000000000100110111001010000100000010000110000000110001000101100010000000100010100000000000011001100010001,"[2, 13, 1]"
2,2,,R0000000250,*C1C(=O)OC(=O)C1*,00100000000001000000000000000000000000000000000000000001000001000100000000000000000000000000000000000000000000100000000001010000000000000000100001000100000010000000000000000000100001000000000100000000000000000000000000010000000000000000000000000100000001000000000000000000010010000000010000100000000000000000110000100001000000000000000011000000000000000000000001000000000000000000010000000000000000000001000000000000000000000000000110000000000000000100010000000000000000000000000000000000000000000000000000000010000100000000001000000000000000000010000000000000001000001000000000100100000000000001100000000000000000000000000000000000000000000000000000000000000000010000000000000001000000000000011000100000000101000000010001000000000000000000000000000000000000000000001000010000000010000000010000000000000000000000000000000000110000000000000000001010000000100000010000000000000100000000000000010001000000000001000000000000000000100110000000000000100000001000000000000100000000000010000000000000010000010000010000000000000000000001000000000001000011100000000110110000000000000001000000000000000000010000100000000000000010100000100000000000000000000000000001000010000000000100001000001001000000000000000100000101000000000000000010000000010000000001001110000000000000100000000000000000000000000000100000110010000010100000000000000000010000000001000000100000100000000010000000000000001000000000000000000000000000000000000000100000000000000000000010000000000000000000000000000000000000000000000001000001000100000000000000100000000001000000000100000000001000010000000000000000100000000100000000000000000000010000000000001000001000100000000101000000000000010001000000000010000000000010000000010100000000000000000000000000001000000000000010000000000000000000000000000000010000000001100010010000001100000000000000000000000001000000000000011000010000010000000000000001000000000000000001010000000000000000000010010000000100000001000000010001000000000000010000000000000010001000001000000000010000100000000000000000000000010001000000000010000000000010000000000000,"[2, 9, 1]"
3,3,,R0000000464,*c1ccc(C2(*)OC(=O)c3ccccc32)cc1,11010110101001000100110110000001010100011000111110111110000000100000101100001000110001001011010001000101110100000111000000001000000000100000000001110111011101001110101000101010000011100001010000110010100011100000000100000100010001000111001001010111100001011111001000011110000011010101010011110010000000000000101001010011010001100011111001010001100000000100001101100011110100000000000111000000100000000001000100111000010011010000111001001010110001000110000000000000100000010011010000100111011001001000011100111000011100000011000001010101110001000010100100000101011000100111100100000000100110010010010111101000101000000000001001000100000010000000010000001101010010000000001001100010010011000000100001100000100001000010101101000000110000010011101010011100000000101000011000111000000010011000001011010110100011100100000000100000000000100110001000101010000000110001010001001100101101011001101001000100000110001010011100101010100001100110000000011110001001010001000100001110111000100111011000100010111101000000000000001110100010010010100110111001111011101100010100001111110110100011010100100010100001011010100000000000101101000010001001000001101001001000010000110000110100011000000101111000100000100000100001100010000000000001110001100100011100101110100001111010100000000010000100100000011011011000011000000011000100000000000100000001000101100111001000000101001100101101111101100001011011010011000000001100000000011001011000001001011001001000000101001001110010001000110000010000100001010011001100000000111010100011001110101000000101010100000000010110010000010111010011000010000100010100011000000001001001000001111001010000000100101100000100110100000000110100000010101011100100100010110100100101110110000111010000001000000000010010011010101000000110100001100100010010110000011110000000000000101000010001000000110011010000101001000010000001010000010100100000110011010101011100001011000100101000011100100101011010110111010000000001110001010100010100010101010011000000001011001101111000011011111010000100001001001110010100011110000000000000101000000000010001,"[2, 18, 3]"
4,4,,R0000000501,*c1ccc(C2(c3ccc(*)cc3)OC(=O)c3ccccc32)cc1,11010110101001001100000110000100010100000000100110011110000000100000101000001000100000000011010001000101100100000001000000000000000010000010000001010110001001001100000000100010000011100000010000110010100011100000000100000100010001000111001001000111100001011011101100001110000011000101010010110010000000000000101001010001000001100111010001000001100000001100001101100011000100000000000111000000100000001001100100110001010011010000111001001010110000010100000001000000100000010010010000000111010000001000010110101000011100000001000001010001100001000000100100000101001000000101100000000000000010000010010111101000100000000000001001000000000110001000010010000101010010000000001101100000000001100000101000100000101001000011000100000100110000010011101010001100000001101000011101111010000010011011001111001110100001100000000000100000000100100110001000111010011000111001000011001100100010011001101001000110000100001010001100100000100001100110000000111110001000000001000100000111110000100111001000100010111000000000001000001110000010010010100100001001101011100101010000001000110010000011010100100010100011010010000000000000101110001010001001000001101001001000010000100000000100001000000101001000000000100000100000000010001000000001110101100100011101111010100001111010101000001010011100100000011010010010100000001010000100100000000000000011000101100111001001000000101000000001001000100001001011000001000000001101000000000001001000001001001001000000000111001001111010001000010100010000000000000011010000000000100000100111001110101000000101010000000000000110010000010111010011000010000100001100011100000000000001000001100001011010000100001110000001010000000000010100000010000011100100100010110100100001010010000111010000001000000000000000001000011000000000100000100101010010010000011110000000000000101000000000000000010110010000101000100110000000010010000100000000110011010101111100001011000111101000011100100101011000110111011010000001110000010100000000010101010001000010001001001101000000011010101110001000000000000110010100011010000000000000100000000000010000,"[2, 24, 4]"
5,5,,R0000000573,*c1ccc2c(c1)Oc1cc(*)ccc1C21OC(=O)c2ccccc21,11011110111111001100001110000100010100001100100111011111000001100010111100001000100110000011110011000101100100000001000000000000000110010010000011110110111001001100000001100010000011100100010000111111100011101010100111000110010001000111001101010111110001011011101101001110000011011101011011110010101000000000111101010001100001100111011101100101100010001100011101100111100110000010000111000100101100101001100110110001110011110110111001101110110101011110000011101110110000010010010000000111010010011000011110101000011100000001000001110001110001001100100101001111001100000101100100000000000010010011111111101100110100100000101101000001000110011000110010010101010010101000001101100100000011110010101110100000111011110011010100101101110000010011101010001100000011111000011101111011001011011011001111011110100011100000000000110000000101100111011000111011011000111001000011011100100010011111101001011111001100001010001100100001110011110110000000111110001000001111000110100111110000100111001010100010111010000000001001001111010010010010100101001011101111100101010100011010111011001011010100101110101011010111000010101000101110001010001011000001101001001000010000101010001100001000100101101001000000110000100000100010001100000011110101100100011101111110111001111010101100001010011101100010011010110010101101001010101100100001000000011011000111100111001001011001101000000001001000110001101011001001000000001101110100010011001010001001111101010100000111001001111111101010010110010010100001100111010000001000110011111111001111101010000111010000000101000110010010010111010011000010000110001100111101110000000001100001100101111010010101001110000001010011001000010100000010101111100110100010110100111101011010010111010000001001100001000000011001011000000100100011101101010010011000011110000010010110101000100000101100011110010100101000110110001100010010100100000001110111010101111100011111000111101011011100100101011000110111011010000001111000011100000000010111110011010010001001001101110010011010101110011000001001001111011100011010011000100000100000100000010000,"[2, 25, 5]"
6,6,,R0000000665,*c1c(Cl)cc(C2(*)OC(=O)c3ccccc32)cc1Cl,11010110101001000100110110000001010110011100111110111110100000100000101110001000110101001011010011000101110100000111110000001000000001100000000001110111011101001110101011101010010011100001110000110010110011100000000110000100011101000111001001010111100001011111001001011110000011110101010011111010100000100001101001010011010001100111111101110001100000001100001101100011110100100000000111001000100000101001000100111100010011010000111011011010110001000110000000100011100000010011010000100111011001001110111100111000011100101011000001010101110001001010100100000101111001101111110100001000100110010010110111101000101000000000101101000100000010000000010000011101010010000000011001100010110011010100100001100000100011000010101101000000111000010011101010011100000000101101011000111100100010011000001011010111100011100100000000100000010000100110101000101010000000110001011001001100101101011001101001000110000110001010011100101010100001100110000100011110001101110001000100001110111000100111011001100010111101100000100100001111100010011010100110111001111011101100010100001111110110101011010100100010100001011011100000001000101101001010001001000001101001001000010000110000111100011010000101111000100000100000100001100010000000000001110001100100011110101111100001111010100010001010001100100000011011011010011000000011000110000000000100100001000101100111001000010101001100101101111101100001111011010011001000001100000000011001011000011011011001001000000101001001110010001000110000010000101001110011001101001010111010101011001110101000000101010100001000011110010100010111010011000010101100010100011010000001001001100001111001010000000100101100000101110100000000110110000010101011110101100010110110110101110110001111010000001000000010010010011010101000000110100001100100010010110110011110000000000010101000110101000010110011110000111001000010010001010100010100100001110011010101011100001011010100101001111110101101011010110111010000000001110101110100010101010101010011000100001011101101111000011011111010000100001011001111010100011110000000000001101000000000010001,"[2, 20, 3]"
7,7,,R0000000666,*c1c(Br)cc(C2(*)OC(=O)c3ccccc32)cc1Br,11010110111001000110110110000001010101011001111110111110000000100000101100011000110001011011010001000111110100000111000000001000000000100000000001110111011101101110101000101010000011110001110000110010110011100000000100000100110101000111001001010111100001011111001000011110000011010101010011110010000000000010111001010011010001101011111001010001100000100100101101100011110100000000010111000000110010000101000100111000010011010100111011001010110001011111001000001000110000011011010000100111011001001000011100111001011101000011000001010111110001100010100100100101011000100111100100000000100110010010110111101000101000100010001001001100000010000001010000001101010010000000001001100010010111000000100001100000100001001010111101000000110000010011101010011100001000101000011000111000001110011001001011010110100011100100000000100000000000100110001000101010000000110001010011001100101101011001101001000100000110101010111100101010100001100110000001011110001001010001000100001110111000100111011000100110111101000001000101001110100010010010100111111011111011101100010100001111110110100011010100101010100001011010100000100001101101001010011001000001101011001000010000110001110100011000000111111001101000110000100101110010000001000001110001100100011101101111100001111010101000000010000100100000011011011000011000001011000110000001001100010001000101100111001000000101001100101101111111100011011011010011000000001100000100111001011001001001111011001001000101011001110010011000110001010000100101010011101100000000111010100011011110101000101111010100000010010110010000010111010011000010000110010100011110000001001001000001111001010000000101101100000100110101000000110100000010101011100100110010110100100101110110000111110001001101001000010010011010101000010110100001100100010010110010011110000000000000101000010001100000110011010011101001000010100001010000010100100000110011010101011110001111000101101010011100100111011010110111010001010001110001011110010100010101110011000000011011001101111000111011111010110101001001001110011100011110000000010000101010000100010001,"[2, 20, 3]"
8,8,,R0000000668,*c1c(I)cc(C2(*)OC(=O)c3ccccc32)cc1I,11010110101001000100110111010001010100011000111110111110000000100000101101001000110001001011010011000101111100000111100000001000000000100000000001110111011101001110101000101110000011101101010000110010101011101000000100000100010001000111001001010111100001011111001000011110000011010101010011110010000001100000101001010011010001101011111011010001100010000101001101100011110100001000000111011000100000000001000100111011010011011000111001001010110001110110000010000000100000110011010000100111011001001000011100111000011100000011001011010101111011000010101100000101011011100111100100010000101110010010010111101000101000100010001001000100000010001000010000011101010010000000001001100111010011000000100001100000100011100010101101010000110000010011111010011100001000101000011000111000000010011000001011011110111011100100000010100000000000100111001100101110000100110101010001001100101101011001101011110100000110001010011100101010100001101110000000011110001001010001000100001110111000100111111000100010111101000000001000001111100110110010100110111001111111101100110100001111110110100111010100101110100001011010100000010000101101000011001001000001101001001010010000110000110110011000001101111001100000100000100001110010001000000001110001110100011110101111100001111010101000011010001100100000011011011000011100001111000100000000000100000001000101100111001000000101101100101101111111100001011011010011000000001100000000011001011000001001011001001000000101001011110010001000110000010000100001010011001101000000111010100011011110101001100101010100100100010110010000011111010011000010000100010110011000010011001001000001111101010000000100101100000110111100000001110100000010101011110100100010110100100101110110000111010000011000000000010010011011101000000110100001100100010110110000111110000000000000111000010001000001110011010001101001000011001001110100010100100000110011010101011100001011000100101001011100110101011011110111010000100001110001010100010110010101011011000000101011001111111000011011111010001100001001001111010100011110000000000000111100000000010011,"[2, 20, 3]"
9,9,,R0000000669,*c1ccc(C2(*)OC(=O)c3c(Cl)c(Cl)c(Cl)c(Cl)c32)cc1,11010110101001000100110110000011110111011101111110111110100000100000101111001000110101001011010111100101110100000111110000101100001001100001000011110111111101011111101111101010010011111011110010111010100011110101011110010100010111011111001011110111110001011111001000111110100011110101010011111110111001100001101001110111010001110011111111010101100111010100001101100011111100111000100111001000100000101001000100111000110011011000111011001010110001010110000011101011100001010011010010100111011111011110111100111000011101111011001001010101110101001011100110000111011001100111100100001000100110010010111111101000101010000001101101010100110010010000010101011111110010010000011001101010010011000100100001110111100011000010101101000000110000010011101010111110100000101101011000111100110010011110001011011111100011100111001000100000010000101111111000101010011000110111011011001110101101011011101001000110110111001010011100101010100001100110001100011110001101110001010100011110111100100111011111110010111111101111100001001110100010011011110110111111111011101110010100011111111110101011010101100010100001011011100000001000101101010011101001100001111011001000011011111100111100011110010101111100100001100000100001100110001000110001110011100100011110101111101011111110100111000011011110100001111011011011011100000011000111000000000111100001000101101111101100010101101100101111111101101011111111010111000000101100110000111001011001001011011001001010000101101101110010001101110010110011101001110011001101101010111010111011101110101001000101010100101011011110011100111111010011000110111110010111011011010011001011100111111001010000000100101110001101110100111010110110101010101011100111100010110111100101111110000111110000101000001100010010011010101000100111100001110100110010111110011110010010000010101000110101010010110011110000111001000011010001010100010100100101110011010101011100001111111101101001111100101101011011110111010011010001111001111100110101110111011011010101001011101101111010011011111010000101001011001110111110011110000000000001101100001101110001,"[2, 22, 3]"
10,10,,R0000000670,*c1ccc(C2(*)OC(=O)c3ccccc32)cc1C,11010110101001000100111110000101010100011000111110111110000000100010101100001000110001001011010001000101110110000111000100001000010000100000001101110111011101001110101000101010001011100101010000110010110011100010000100000100010011000111011001010111100001011111001000011111000011010101010011110010000000000000101001010011010001100011111101010001110000000100011101100011110100000000000111000000100000000001000100111000010011010000111001001011110001000110000000000000100000010011010000100111011001001000011100111000011100000011000101010101111001000010100100000101011000100111100110001000100110010010010111101000101000000000011001000100001010000000010000001101010010000001001001100010010011000000100001100000100001000010101101010000110000010011101010011100000000101000011000111000000010011000001011010110100011100100000000100000010000100110001000101010000000110001010101001100101101011001101101001100000110001010011100101110100001100110001000011110001001010001000100001110111000100111111000100010111101000000000000001111100010010010100110111001111011101100010100001111110110100011010100100010100001011010100000100000101101100011001001000001101001001100010000110000110100111000000101111010100000100000100001100010000000000001110001100100011100101111101001111010101000000010000100100000011011011000011000000011000100000000000100000001000101100111001000000101001100101101111101100001011011010011000010001100100000011001011000001001111001001000000111001001110010001000110000010000100001010111001100000100111010100011001110101001000101010100000000010110010010010111010011000110000100010100011000000001001001000001111001010010000100101100000100110100000000110100000010101011100100110010110100100101110110000111010000001000010000010010011110101000000110100001100100010010110000011110001100000000101000010001000000110011010000101001000011000001010000010100100000110011010101011100001011000100101000011100100101011010110111010000000001110001010100010100010101010011000000001011001101111000011111111010000100001001001111010100011110000000000000101000000000110001,"[2, 19, 3]"
11,11,,R0000000789,*C1(C)CC(*)(C)C(=O)OC1=O,00100000000101000000000000000010000010000000000000000001000101110011000000000000010000000000000001000100000100000000010001010000100000000000100000001100000010000000000000000100000001000000000100000010000000000000000000000000010100000010010000100000000001000000010000000000010000001100111000000000000000010000111000100100010000000000000011000100000001000001000001100100000000000000011000000100000000001000010000000001010010010010001110000001000100000000010000011000000000000000000000000000000010000000000000000000000100000010000000000100000000000000000000000000011100001100000000100000000000100001000000000000101001000000011100000000010100000000000000000010100100000000010000001001010000000010011000101011000001000000010000001000010010000000000100000001000000000000001100010000000010000000010000010000000000000000101000100001100000000000101000000000001001110101000100000000000101000100001010010001000000100001000101000000000000100110010000001000000000001100001000000100010000000010100000000000011000010000010001000000000000000000000000001001100001100001110010110000000000000001000000000000000000011000101000000000000010100000001100000000000000000110000001000011000000000100001000001001000000000001010000000100010000000000000011000000011100000000001110001000001010000101001000000001010010000000100000100100000010000100000000000000010100000001010000100000001000110010000000000010000000001100000100000100000011001000100100100000000000010011000000000000000000000001001100000000000000000000001000000000000110010000000000000000000001000000000100000000000000011000000000000001100000010000000100000000000000000001001101001000000000000000000101100000000000010001000010001000100000000010000101010100010000000000000000000000001000000000000010110001100000000000000000010000010000001000100010110000000000001000000000101000000001000100000011010000010000001000000001001000000000000000000001010000000000000000100100001110000101001101000000100001011000000000010000000010000110001100000010110000000001100000000000001000000000010000000000000110000000000010000000001000,"[2, 12, 1]"
12,12,,R0000000791,*C1CC(*)C(=O)OC1=O,00100000000001000000000000000010000010000000000000000001000101000010000000000000000000000000000001000000000100000000000001010000000000000000100000001100000000000000000000000000000001000000000100000010000000000000000000000000000100000000010000000000000001000000000000000000010000001100011000000000000000010000110000100100000000000000000011000100000000000000000001000000000000000000010000000100000000000000010000000001000000000010001110000001000100000000010000010000000000000000000000000000000010000000000000000000000100000000000000000100000000000000000000000000001000001000000000100000000000100001000000000000000001000000010000000000000100000000000000000000100000000000010000001001000000000010011000100010000001000000000000001000000000000000000000000000000000000000001000010000000010000000010000010000000000000000000000100000100000000000001000000000000001100000000000000000000101000000000010010001000000000001000001000000000000000110010000000000000000001000001000000100000000000010100000000000011000000000010001000000000000000000000000001001000001100000000010100000000000000001000000000000000000010000101000000000000010100000000100000000000000000110000001000010000000000100001000001001000000000000010000000100000000000000000010000000011000000000001110001000000010000000001000000001010000000000000000100100000010000100000000000000010000000001010000100000001000100010000000000010000000000100000000000000000010000000000100100000000000000011000000000000000000000000001100000000000000000000000000000000000100010000000000000000000001000000000100000000000000010000000000000001100000000000000100000000000000000000001101001000000000000000000101000000000000010001000010001000100000000010000001010100010000000000000000000000001000000000000010110001100000000000000000000000010000001000100010010000000000000000000000001000000001000100000011000000010000000000000001001000000000000000000001000000000000000000100000000000000100000001000000000001000000000000010000000000000010001000000010000000000000100000000000001000000000010000000000000010000000000010000000000000,"[2, 10, 1]"
