,Unnamed: 0,Unnamed: 1,Unnamed: 2,RID,smiles,fragment_fp,fragment_fp2
0,355,,,R1773,*SC(*)=S,00000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000001100000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000010000000000000100000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000010000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[2, 5, 0]"
1,389,,,R1906,*C(=S)C=*,00000000000001000000000000000000000000001000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000100000000001000010000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000010001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000,"[2, 5, 0]"
2,482,,,R2378,*C(=S)c1ccc(*)s1,00000000000101000000010000110000010000010000000000001000000001010000100000000000100001000000010000000000010010000000000100000001000110000000000001000000000101000100000110000000000000000000000000000010000000000000000000000000010000101000000001000000000000100000000110000001000000000001000000000010000000000000000000100000000010000010000000001000000000000000000010000000000000000010000000000000101000000000000000000100000100100010000000000011010000010100000010000100000010000100011000101110000000000000000001000000010000000100000000010000000100000001001010000000100010000000000000001000100000000100001000000000000000000000001000000000000000000000000000000000001000000100000000100100000000000000000010000000100001010000000000001000000000000000000010010010000000011000000001100000000000110100001010001000000001000000000001000000000001000000100000100100000000010000000000000000000000010000001000000110000000000000010100000000000100000010000000000000000000000000000000000000000000000100001000000010000100000100100000000000000100000011000000001000110100000000000000001000000000000000010000010001000000001000100000000000000001000000000000000000000000100000000000000000000000001000110000011001110001000000000000000000000000000000000101000000000000100000000000000000000000000000000001000000000000000000001000000000000110000000010100000100000000000000001100000000100010000000000000000000001000000001000110000010010000000000001001000000110000000000100000000000000001100000000001000000010000000000000101000000000000000000000000000010000000000000100000000000000001000000000000000000000100001000000000000000000000000000010000010000000000000010000000000010000000000000010100000000100000000010000000000000000100000000000000001000000000000000011000000000000000000000000001000000100000000000000001110100110000010000001000100010000000001010000000100001000000000000000000000000000000000101000100000100010000000010001000000000000111000010000000010000000000000000000001000000001000000001011010000000000000000000010000000000000000010000000000000000000000000000000100000000,"[2, 9, 1]"
3,483,,,R2379,*c1ccc(C(=S)c2ccc(*)s2)s1,00000100000100000101000000100100010000011000000000001000000001010101100001101000100000000000010000000110010010010000001001000001000010100000001001000101001101000100000110000001010000100000000010000000000010010001000000000001010000000000000001000001100000000000000100000000001000001001000000000010100000000101000100101000000010000011000000100000000000000000011000100000010010000110001000100100000000000000000000000100000100101010000000000010010000110100100110000000000010000100011001001111100000001000000001000000000000000100000000011000000100000000001010010010100011000010000010001000001000010001000000000000000000000000001000000000000000000000000000000100001000000100001000100100000001000000001010000000000000110000000000000100000000000010000010010010001000011000000001010000000000010100100000001011010001000010000000000000100001000000101000110110000000010001000000000000010100010001001000000101011000100100100100100110000100000010000000010000000100000000000000100000000000100100001001000000100000101100000000010000010100000011000000100000111100000000000000001100000000100000010000010001000000111000010010001000001111000001000000000000001000100000000000000000000000001010000100011000100000000001000000000000000000000000000100000000000000100000000010000000000000000000000001000000001000010000101000000000000010000000010000010000100100000000001100000001000110000000000001000000001010000001000110100010010000000000001000000010100000000001000000000000000001100000000011000000110001000000001101000000000001000000000010000010000000101010100010000000001001010000000000001000000000000001000000000000000110000000000001010000001000011010000000011010010000010000101100000000101000000110000000000000000000010000000000000100000001000000011100000000100000000100000001000000100000000000000011111100111000001000010100110010000000001000000100000001000000010000000000000000000000100100000111001000010000001011001101000010000011001010100001010000100000000111000001000000000000000101001001000100000010000000010000000000000100000000000000000001000000000000000100001000,"[2, 14, 2]"
4,484,,,R2381,*C(=S)c1ccc(*)cc1,00000000000001000000000000000000010000000000001100000000000000010000000000000000000001000000000000100001000000000000000000000000000000000000000000001000000000000100000000100000000000000000000100110010000000000000000000000000010000001010000000000100000000000000000000010000000000000100000001000010000000000000000000000000000000000010000000010000000000000000000010000000000001000000000000000000001000000000000000000000000011000000000000000000010000000000000000000000000000000000010000001100000000000000010000000000000000000000000000010000000100001000001000000001000010000100100000000000100000000000001100000000000000000000000000000000000000000000010000000000000000000000000000100000000000000000000000000000100001000000000000000000000010000000000010010000000000010000000000010000000000001000000010000000000000100000000100000000000000100000000000100000000000110000000000000000000000011000000000000010000000000000010000000000000000000010000000000100000000000000000000000100001000000100000000000010110100000000000000000100000000000010000000000010100000000000000000001000100000000000000000000000000001000000100000000000100101000000000000000000000000100000000000000000000100001000000000001000000000000000000000000000000000000001100000000000000000101000000001011000000000000000000001000000000001010000000000000000000000000000000000000000000001000010000000000000000000000000000100000000000100000001000000000000000000000000000000000000000000001000000000000000100000001000000000000000000000000000000100000000000000000000000000000000000100000000000000000000010000000100000000000000000000000100000000000000000000000000000001000000000100000000000000000000000000000000000000000000100000000010100001000001000100000001000000000000001000000001010000000000000000000000000000000010000001000000000000000100100000001000001000100010010000001000000000100000000000000000000000000000000000100000000010000000000000001100000000000000010101000010100000010001000001000100010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001,"[2, 10, 1]"
5,485,,,R2383,*C(=S)c1ccc(C(=S)c2ccc(*)cc2)s1,00000100000001000101010000010100010100101001000000010000000000010100100001100000110001101000000000100011000000010000001100000001000110100000110001101001001101001100000110000000001010100000000110111000000000101001000000000011010000001010000000000001100000110001000000000011000000001101000001000010100010010101000100111000000011100011100000100000000000000001011010000000000000010010001000100101101100000000000000000000000001100000000001000011010000110100000110000100000010000100011010001111100000001001010001000000110000100110110000010000000110001001001010110011101010000001100000001000101000011110001000100001000010000000001000000001000010000000010000000000000000000100001000100100000001100000001010001000100001110000000000001100000110000010000010010110001000011000100000010000100000110100101010110010000000110000000101110000100010100000001000100110000010110001000100000001000100011001001000000011010000100100000101000100000101000010000000000100000100000000000000100100100010100100000011000010110100101100000000000101010010000011000100001000110100000000000000001101100000001000000100000011000001111000100110101000101111000001101000000000011100101010000000000000011100001010010100011001100101000000000100000010000000000001100000100100000001111000000001010010000000000000000101000000001000010000000001100010000110000100010100010100000001000010001010000000100000000000001001000000001110010011100101000000000000000000001001000000101000000001100000010000110010101010000000001000010001000001000101000010000000010000000010100000000100100010000010000010011001010100000000010000000100101100100000000000000110000000010001010000000100011001000000010000010110010001101010000001101000100110100001000001000100010011000000001001000011000000011101000100100000010000000001000010100101000100010001111100111000001001001000100010010000001010000100100001000000000000000000010000000000100000000010011100000000001100001100000010010111000011100001010000110101000110010101000010001000001000010011000000000011010000010000000000000100000001000000000010000001101000000000010001,"[2, 17, 2]"
6,486,,,R2384,*c1ccc(C(=S)c2ccc(*)s2)cc1,00000100000100000101000000100100010100011001000000011000000001010100100001100000000000000000010000100011010010010000001101000001000110100000101001001101001101001100000110000000001010100000000110111000000010000001000000000001010000001010000001000001100000010001000100000000000000001101000000000010100000000101000100110000000010000011000000100000000000000000011000000000000010000010001000100100000000000000000000000100000101101010000001000010010000110100100110000000000010000100011000001111100000001000010001000000100000000100100000011000000100001000001010010011101010000001100000001000001000011010000000100000000000000000001000000001000000000000010000000100001000000100001000100100000001100000001010001000100000110000000000000100000010000010000010010010001000011000000001010000000000010100100010001010000001110000000100100000100001100000101000110110000000110001000100000000010100011001001000000101011000100100100100100110000101000010000000010100000100000000000000100100000000100110001001000000110000101100000000000100010010000011000000000000110100000000000000001101100000001000010000010001000001111000000010001000101111000001001000000000001000100010000000000000000100001010000100011000100000000000000000000010000000000001100100100000000000101000000011010000000000000000000101000000001000010000001000100010000010000000010000010000000001000010001110000000000010000000001001000000001110000001000110000010010000000000001000000010101000000001000000000000110001101010000001000000010001000001000101000000000000000000000010000010000100100010100011000000011001010100000000001000000000000100000000000000000110000000000001010000000100011010000000011010010010010000101110000000101000100110100001000001000000000011000000000000000011000000011100000000100000000000000001000010100001000100010001111100101000001001000100110010010000001000000100000001000000000000000000000000000000100100000110001000010000001110001100000010010111000010100001010000110001000110010101000010000000001101001001000000000010000000010000000000000100000001000000000001000001001000000100011001,"[2, 15, 2]"
7,487,,,R2385,*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,00000000000001000000000000000000010100000000001100010000000000010000100000000000000001000000000000100001000000100000000000000000000100000000100000001000000001000100000010100000000010000000000100111000000000100000000000000000010000001010000000000100100000010001000000010010000000000100000001000010000000000100000100010000000001000010000000000000000000000000000000000000000001000000000000100000001001000000000000010000000011000000000001000010010000000100000100000000100000000000010000001100000000001000010000000000000000000000000000010001000110001000001000000001000010000101100000000000101000000000001000000000000000000000000000000000000000000000010000000000000000000000001000100000000000100000000000001000100001101000000000000000000010000010000010010000000000010000000000010000100000001000000010010010000000100000000100100000000000100000001000100010000000111001000100000000000000011000001000000010000000100000000000000001000001000010000000000110000000000000000000000100001010000100000000000010110100000000000000000100000010000010000000000010100000000000000000001000100000000000000100000010000001010000101000000000101101000000001000000000011000100000010000000000000100001000000101001000000000000000000000000010000000000001100000100000000000101000000001111010000000000000000101000000001000010000000000000010000000100100000000010000000001000010000000000000001000000000001100000000000110000001000100000000000000000000001000000000001000001000000000000000110000001010000000000000000001010001000100000000000000000000000010000000000101000000000000000000010000010100000000000000001100000100100000000000000110000000000101000000000100011000000000000000010010010000100010000000100000100010100001000001000100000011000000000000001010000001010000000000000000000000000000000010000001000100000000000100100000001001001000100010010000001000000000100000000000000000000000000000000000100000000010000000000000001100000000000000010111000011100001010001010001000100010100000000000000000000100000000000000000000000000000000000000000000001000000000000000000000000000000011001,"[2, 18, 2]"
8,488,,,R2386,*c1ccc(C(=S)c2ccc(*)cc2)cc1,00000000000000000000000000000000010100000000000000010000000000010000100000000000000000000000000000100001000000100000000000000000000100000000100000001000000001000100000010000000000010000000000100111000000000000000000000000000010000001010000000000000100000010001000000000000000000000100000000000010000000000000000100010000000000000010000000000000000000000000000000000000000000000000000000100000000000000000000000000000000001000000000001000010010000000100000100000000000000000000010000001100000000001000010000000000000000000000000000010001000000001000000000000001000010000001100000000000001000000000000000000000000000000000000000000000000000000000010000000000000000000000001000100000000000100000000000001000100000101000000000000000000010000010000010000000000000010000000000010000000000000000000010000010000000100000000100100000000000100000001000100010000000110001000100000000000000011000000000000000000000100000000000000000000001000010000000000100000000000000000000000100000000000100000000000000110000000000000000000100000010000010000000000000100000000000000000001000100000000000000000000000000001010000000000000000101100000000001000000000001000100000010000000000000100001000000100001000000000000000000000000010000000000001100000100000000000101000000001010000000000000000000101000000001000010000000000000010000000000000000000010000000001000010000000000000001000000000001000000000000110000000000100000000000000000000001000000000001000000000000000000000110000001010000000000000000001000001000000000000000000000000000010000000000100000000000000000000010000010100000000000000000000000100000000000000000110000000000001000000000100011000000000000000010010010000100010000000100000100000100001000001000000000011000000000000000010000000010000000000000000000000000000000010000001000100000000000100100000001001000000100010010000001000000000000000000000000000000000000000000000100000000010000000000000001100000000000000010111000010000001010000010001000000010100000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000010001,"[2, 16, 2]"
9,489,,,R2389,*CC(*)=S,00000000000001000000000000000000000000001000000000000000000000000000000000000000000000000000100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000010001000000001000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000,"[2, 5, 0]"
10,491,,,R2393,*CCCC(*)=S,00000000000001000000000000000000000000001000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000001000000000000000000000000000000000000000000000000000000000000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000001000000100000000000000000000000000000000000000000000000100000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000010001000100000000000000000000000000000000000000100000000000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000010000000000001000000000000000000000000000000000000000000000000000000100000000010000000000000000000000000000000000000000010000000000000,"[2, 7, 0]"
