,Unnamed: 0,correction,RID,id,smiles,fragment_fp,fragment_fp2
26,278,,,,*OS(=O)(=O)O,00000000000000000010000000000000000000000010000000010000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000100000000010000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000001000000000100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000010000000010000000000000,"[1, 6, 0]"
27,297,,,,*c1ccc(*)c(S(=O)(=O)O)c1,10000000000000000000000000000010010100000000000000100000001010011000000000100000000000000100000000000001000000000000000100000000000000000000000000000000100100010100010000010000000001000000001100110100000000000100001100000000011000000000100000011000000101000000100000000010100100000100001000110010000101000000000100001000000010000010001100000100110000101000110000010001000110000000000000000000000000000000010001000000110001000000000000000010001000001000000000000000000000010000010000000011000000000000000000000000001010010000001000010000000000000000100000000110000000100000000100100000000100000001000000000000000100000000000001000000000000000000010001000000000010000010010000100010000001010001101000000000100001000010000000000000010000000000000001001110000000000100000000010000000000000000000010000000100101100000010001010100110001001000000000100000000100000010011000100000000000011010010000010100000101000001000011000000000110000000000000000100000000001000001010011000000100000010000001000011011100000010000110000100000000000010000000000000001000000000001000010010010101000011000000000001000011100100000001000000010000100000010000010000001000011001000001000000000100001010110001110000000000000000000000001000000001000000100000000000000000110000100101011000101001000000000010000000000001011000000010001000001000000010000000000100001000000100000100000100000110000001000000000100000100000000010000000000000001001100000000000100100000000000001110000000100000000001000000101000000000000000000000000100000000110000000000000000000101010000000000010000000000000010000000000000001010000000001000010000000100000000001001100000000000000001000001000000000000000101000001000001000100100000110000010000000000001000000101000000000000000110000010010000000000001000001000000000000000000010011110000000110000000100100100000000010000000000000000000001000000101000000010000000000000000000010000000000000000000100000000000010000101000001000000110100011100000000000000000000000000110000000000010000000000000001000001000000000100000000000011000000010000000000000000000000,"[2, 12, 1]"
28,355,,,,*c1ccc(S(=O)(=O)O)cc1,00000000000000000000000000000010010000000000000000000000000000001000000000100000000000000000000000000001000000000000000100000000000000000000000000000000100100000100010000000000000001000100001000110000000000000000000000000000010000000000100000011000000000000000000000000000100100000100000000100010000001000000000100001000010000000010000000000100110000101000000000010000000000000000000000000000000000000000010000000000010001000000000100000000000000000000010000000000000000000000010000000011000000000000000000001000001010000000000000010000000000000000000000000100000000100000000100100000000000000001000000000000000000000000000001000000000000000000010001000000000010000000000000100010000000000000000000000000100000000000000000000000000000000000000000001110000000000000000000010000000000000000000010000000100000100000000000000000110001000000000000100000000100000000010000000000000000011010010000000000000000000001000011000000000010000000000011000100000000000000001010001000000000000000000001000001011000000010000100000100000000000010000000000000000000000000000000010000010001000001000000000001000001000000000001000000000000000000010000010000001000011001000001000000000100001010010000110100000000000000000000001000000000000000100000000000000000110000100001011000100001000000000010000000000001011000000000001000000000000000000000000100000000000000000100000000000100000101000010000100000000000100000000000000001001000000000000000000000000000000000110000000100000000001000000101000000000000000000000000000000000000100000000000000000100000000000000000000000000000000001000000000000000000001001010010000000100000100001001000000000000000001000000000000000000000000000000000001000000000001110000010000000000001000000000000000000000000010000010000000000000001010000000000000000000000000001110000000110000000100000000000000010000000000000000000000000000001000000010000000000000000000000000000000000000000100000000000000000100000000000000010000011000000000000100000000000000010000000000010000000000000000000001000010000100000000000000000000010010000000000000000000,"[1, 11, 1]"
29,71,,,,*c1cccc(S(=O)(=O)O)c1,00000000000000000000000000000010010000000000000000100000001000001000000000100000000000000100000000000001000000000000000100000000000000000000000000000000100100010100010000010000000001000000001100110100000000000000001100000000010000000000100000011000000000000000000000000000100100000100000000100010000101000000000100001000000010000010000000000100110000101000100000010000000110000000000000000000000000000000010000000000010001000000000000000000001000000000000000000000000000000000010000000011000000000000000000000000001010000000000000010000000000000000000000000100000000100000000100100000000100000001000000000000000000000000000001000000000000000000010001000000000010000000000000100010000001010001101000000000100000000000000000000000010000000000000000001110000000000000000000010000000000000000000010000000100100100000000001000100110001001000000000100000000100000000010000000000000000011010010000010000000000000001000011000000000010000000000000000100000000000000001010001000000000000010000001000001011000000010000100000100000000000010000000000000000000000000000000010000010001000011000000000001000011000100000001000000000000100000010000010000001000011001000001000000000100001010010001110000000000000000000000001000000001000000100000000000000000110000100101011000100001000000000010000000000001011000000010001000000000000010000000000100001000000000000100000000000110000001000000000100000100000000000000000000000001000000000000000100100000000000000010000000100000000001000000101000000000000000000000000100000000100000000000000000000100000000000000000000000000000010000000000000001010000000001000010000000100000000001001100000000000000001000000000000000000000000000001000001000000000000110000010000000000001000000000000000000000000110000010000000000000001000000000000000000000000000011110000000110000000100000000000000010000000000000000000000000000101000000010000000000000000000010000000000000000000100000000000010000100000000000000110100011100000000000000000000000000010000000000010000000000000000000001000000000100000000000010000000010000000000000000000000,"[1, 11, 1]"
30,91,,,,*c1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)cc1,00000000000000000000000100000010011001000000000000000000010000011000000001100000000000000000100000000001000000000100000110000001000000000000000000000000110100001100010000000000000001000000001000110000000000000000000000000000010000000000100000011000000010000001000000000000100110000100000000000010000001101000000100001000000000000010000010000100110000101000000000010000000000000000010000000000000000000000010000000000010001000000000000000000000000000000000010011010000000000000010000000011000000000000000000000000001011000000000001010000000000000010000000001100000000110000010100100000000000000001000010000010000000000000000001000000000000000000010101010000001010000000000000100010001010000000000000000000100000000001000100000010000000000000000000001110000000000000000000010000000000000110100010000010100000100000000000000010110001000000000000100000000100000000010000100000000010011010110000000000000000000011000001000000010011101000001000000100000100000010001010001000000000000000000001000001011000001010000100000100000000010010000000000000000000000001000000010000010001000011000000000001000001000000000011000000110100000000011000010000001000011001001001000001000100011010010000110000000010000000000000101000000000000000100000000100000000110000100001011000100001000000101010000101010001011000000100001000000000000001000000000100110000000000010101000000000000000001000000000100000000100000000000010000000001000000000010000000000000101000000010100000100000000001000010101000010000000010000100000000100000000000001001000000000101000000000000000000000001000100000000000000000010000000001000010010000100000000001001100000000000000011000000000000000100000100000000000001000000000000111000010000000000001000000001000000000001000010000010001000000001001000000000100000000000000010001110110000111000000101000000000100011000100000100000000100000010001000000010000000000000000101000000000100000000000100000000000000011100000000010000010000011100000000000000000000000000010000100000010000000010000000000001000000000100000000000100010100010000000000010000001000,"[1, 19, 2]"
31,119,,,,*CCS(=O)(=O)O,00000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000010000000000000000000000000000000000000000000000000001000000000010000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000100000000000000000000000000000010000000100000000000000000001011000000100010000000000000000000000000000000000100100000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000100000000000000000010000000000000000000000010000000010000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000101000000000000001000000000000000000000000000000000000010000010000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000000010000000000000010000000000000000000000000000000000000000000000000000010000000000000000000001000000100000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001000000000000000000000000000000000000100000000000000000000000000000000010000000010000000000000,"[1, 7, 0]"
32,127,,,,*c1cc(*)cc(S(=O)(=O)O)c1,00000000000000000000000000000010010000000000000000100000001000001000000000100000000000000100000000000001000000000000000100000000000001000000000000000000100100010100010000010000000001000000001100110100000000000000001100000000010000000000100000011000000000000000000000000000100100000100000000100010000101000000000100001000000010000010000000000100110000101000100000010000000110000000000000000000000000000000010000000000010001000000000000000000001000000000000000000000000000000000010000000011000000000000000000000000001010100001000000010000000000000000000000000110000000100000000100100000000100000001000000000000000000000000000001000000000000000000010001000000000010000000000000100010000001010001101100000001100000000000000000000000010000000000000000001110000000000000000000010000000000000000000010000000100100100000000001000100110001001000000000100000000100000000010000000000000000011010010010010000000000000001000011000000000010000010000000000100000000000000001010011000000000000010000001000001011000000010000100000100000000000010000000000000000000000000000000010000010001000011000000000001000011000100000001000000000000110000010000010000001000011001000001000000000100001010010001110000000000000000000000001000000001000000100000000000000000110000100101011000100001000000000010000000000001011000000010001000000000000010000000000100001000000000000100000000000110000001000000000100000100000000000000000000000001000100000000000100100000000000000010010000110000000001000000101000000000000000000000000100000000100000000000000000000100000000000000000000000000000010000000000000001010000000001000010000000100000000001001100000000000000001000000000000000000000000000001000001000000000000110000010000000000001000000000000000000000000110000010000000000000001000000000000000000000000010011110000000110000000100100000000010010000000000000000000000000000101000000010000000000000000000010000000000000000000100000000000010000101001000000000110100011100000000000000000000000000010000000000010000000000000000000001000000000100000000000010000100010000000000000000000000,"[2, 12, 1]"
33,155,,,,*C(C)(C)CS(=O)(=O)O,00000000000001000000000000000000000000000000000000000001000000000000000000000000001000001000000000000000000000000000010000000000000000000000000000000000100000000000000000001101000000000000000010000000000000000000000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000001000000000000010000000000000000000000000000000000000000000000000000000000000000000100000000000100000000000010000001000000000000000000000000000000000000000000001000000000010000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000100000000000000010000000000000000000000011000000000000000000000100000010000000000000000000000010000000100000000000000000001011000000100010000000000000000000000000000000000100100000000000000000010100000000000000000000000000000000000000000000000000000000000000000000000000000011000000010000000000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000000100000000000000000000000000000000000000000000000000000010000000000010100000000000000000000000000010000001000000000000000000000000000000000000000000000000000000000100010000000000000000000000000000000100000000000000000010000000000000000000000100000000100000000000100000000000000000000000100000000010000000010000000000000000000000010000000010000000000000000000000000000100000000000000000000000001000000000000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000001000000001000000000000001101000000000000001000000000000000000000000000100000000010000010000000000000001000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000001000000000010000000000000010000000000000000000000000000000000000010000100000000010000000000000000000001000000100000000000000000000000000000000000000001001000000001000000000010000000000000000000010000000100000000000000000000000000000000000101000110000000000000000000000000000000000000000010001000000000000000000000000000000000000100000000000000000000000000000000010000000010000000000000,"[1, 9, 0]"
34,156,,,,*c1ccc(S(=O)(=O)O)c(C)c1,00000000000000100000000000000010010001000000000000000000000100001001000001100000000000000000000000000001000000000000000100000000000100001000000000000000100100010100010000000000000001000100001000110010000010000000000000000000010000000000100000011000001000000000000000000011100101001100001000100010000001000000000100001000010000000010000000000100110001101000000000010000000010000000000000000000001000000000010000000000010001000001100100000001010001000000010000000000000000000000010000000011000001000000000000001000001010000000000000010000000000000000001000000100000000100010000100100001000000000001000000000000000000010000000011000000001000001000010001000000001010000100000000101010000000000000000000000000101000000100000000000010000000000000000010001110100000000001100001010000000000000000000010000000100000100000000100000000110001100000000000100000100100111000010000000000000000011010010000000000000000000001100011000000001010000010001011000100000000000000001010001100010000000100000001010001011000001010010100000100000000000010000000000000000000001000000001111000110001000001000001000001000001000000000001000000000000000000011000010000011000011001000001000000000100001010010000111100000011010101000000001010000001000011100100000000000000110000100001111000100001000000000010100000000001011000000000001000000000000000000000000100000001000010000100000000000100000101000010000100000000000100000001000000001011100000001000000000000000000000000110000000100100001001000000101100000000000000000000000000000000000100001000000010000100000000000000000010010000000100001000000000000010110101101010010000000100000100001001000000000110000001000000000000000000000000000000010001100000000001110000010000000000001011000000000000000100000110000010100001000000001010000000000000000000000000001110100000110000000100000001000010011000001000000000000000000000001000000010000000000000000000011111000000000000001100000001010001000101000000010000010000011000000000010100000000000000010010001000010000000000010000000001000010000100000000000000000000010010000000000000000000,"[1, 12, 1]"
35,171,,,,*C(=O)C(CCCCCCCCCCP(=O)(O)O)C(*)=O,00000100000001000000001000000001000001000100000100010000000000000000010000001000000000000000000100000000000000000000000000000000000001000001000000001000000110000000000000000100000000001000000100000000000000010000000000000000000101000000000000000000000001000000100000000000000000001001000000000000000000110000000001100000000000010001100010000000000000000001000000000000000001000010000010000000000010000000010000000000010000000000000000000000000000000000000000000000000000000000010001001000000000000000000000000000000000000000000001000000000000001011000000000000000000000100010001000000000000010001010000001000001001100000000000000000000000000100000000000000000000100000110000000000000000010000000000000000000001000000000001000000001010100000001000000000000100000000010000000100000000000000100000000000000110000010000000000001000000000000000000000010000000000000000000000010000111000100000000000100000010010000000001000000000010001010000000101000000000000000011000001000000010000000000000000000110000001000000100000000010010000000000000000000100000100000010001010000000000000001000000000000000000000000000000000001000000000100000000000000000000000000001000000010000000000000000000000101000100000000000100000000100000000000000010000000000000000000000010011100000000001000000010000000000000000000100000000000000010000000000000000000000000000010000000001000000000001000001000000000100000000000000000000000000001000000000000000000000000000000000100000000000000000000000100001000000000000000000000000101000100000000000000010000000000000000000000000000000000010000000000000000000000001000000000000000000000000000010001000000000000000000000000000000000000000001000000000000100100000010011000000000001000011010000000000000001001000010000000000001000000000000000001000000000000000000101000000000000000000000000001000000000001000100100000010000010000000000001010000000000000010000011011000000010000000000000000100000100100000100010010000001000000000000001000000000000010000000100000000000000000100000000100000100000000000000000000000000000000110010000000000000,"[2, 21, 0]"
36,205,,,,*c1ccc(S(=O)(=O)c2ccc(*)c(S(=O)(=O)O)c2)cc1S(=O)(=O)O,10000000000000000000000000000010010100000000000110000000000010011000100000100001000100000100100000100101000000000000000100000000110100000000000000001010100100110101011000100010000011000001001100111000000000001100001000001100011000000000110000011000000101000000100000000010100100000100001001111010001101000010001100001000000100100010001100110100110001101000010001010001000000000001000010000000000000000000010001001000110001010000000000000010011000011000000011010000000000000000011000000011000000000001000000001000011010011010001100011000000001000000000000000100000000101000001100101010001000000011000000000000000100100000000001000000000110000010110101000000101010000110010001100010000000101000000110000000101000010010010100000000000000000000100001001110000000000100000000010000000000010010000010100000100011100000010000010001111001001000100000100000100100000100011000110000000000011010010100001000100101000001000011000000000110000000010011000100000000001000001010001010000100000001100001000011011100000010000110010100011000000010010000000000001000011100001100010010010111100001000000000001000011100111001001000000010000000000011000010000001000011001010001000000000100001010111000110100000000000100001010101000000011000000110000001001100000110000100001111000101101010000000010000001000001011010000110001001110000000000000000000100000001001100100100100110000100000001100000000100000000000100010000000000001001011000100000000001101000000100011110001000101010100001001000111000000000000000000000000000000000110100000000000000110101010000000000010100100000001010001010000000001000000101101010010010100101000000001001010000000000000011010000000000000000100100100011100011000100100001110000010000001001001000000101000001000000010011000010010000000010001010001000000000010000110011001110000000110000000110000100000100010000000001000000000001000000001010000010000000000000000000000000010000000000010100101000100000000101001001000000010000011100100000010101101001100000110000000001010000000000000001001001000100000100001000000001100000010010100000000000000000,"[2, 25, 2]"
37,212,,,,*C(=*)CCS(=O)(=O)O,00010000000001000000010000000000000000000000000000000100000000000000000000000000011000000000000000000000000000000000010000000000000000000000000000000000100000000000000000000101000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000010000000000000000000001000000001100000000000000000000000000000000000010000001000000000000000000000000000000000000000000100000000000100000000000010000000000000010000000000000000000000000000000000001000000000010000000000001000000000000000000000000010000000000000000010000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000100000000000010000000000000000010000000000000000000001000001011000000000000000000000000000000000000000000000100100000000000000000000100010000010000010000000000000000000000000000000000000000000000000000000000000111000000010000000100000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000001000010000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000010000000000000000000001000010000000000000001000000000000000001100000100000000100000000010000000000000000000000010000000010000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000001001000001000000000000000101100000000000000000000000000001000000000000001100000000010000010000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000001000000000010000010000000010000000000000000000000000000000000000000000100000000000001000100000000000001000000100000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000000000000000010001000000000000000000000000000100000001000000000000000000000000000010000010000000010000100000000,"[2, 9, 0]"
38,270,,,,*CCCS(=O)(=O)O,00010000000001000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000010000000000000000000000000000000000100000000000000000000101000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000100000000000010000000000000000000000000000000000000000000000000001000000000010000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000100000000000000000000000000000010000000000000000000000000001011000000000000000000000000000000000000000000000100100000000000000000000100010000000000010000000000000000000000000000000000000000000000000000000000000011000000010000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000100000000100000000010000000000000000000000010000000010000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001100000000000000000000000000001000000000000000100000000010000010000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000001000000000010000000000000010000000000000000000000000000000000000000000100000000000000000100000000000001000000100000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001000000000000000000000000000100000001000000000000000000000000000000000010000000010000100000000,"[1, 8, 0]"
39,277,,,,*CCCCS(=O)(=O)O,00000000000001000000000000001000000000000000000001000000000000000000100000000000001000000000000000000000000000000000010000000000000000000000000000000000100000000000000000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000100000000000000000000000000000010000000000000000000000000000000000000000000000000100000000000100000000000010001000000000000000000000000000000000000000000000001000000000010000000000001000000100000000000000000000000000000000000010000000000000000000000010000000000000000000000000000000000000000000000000000000001000000000011000000000000000000000100000000000000001000000000000110000000000000000000000000001011000000000001000000000000000000000000000000000100100000000000000000000100000000000000000000000000000000000000000000000000000000010000000000000000000011000000010000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000010000000100000000000000000010000000000000000000000010000000010000000000000000000000000000000000000000100000000000000000000000000000000000010100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001100000000000000100000000000000000000000000000100000000010100010000000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000001000000001010000000000000010000000000000000001000000000000000000000000100000000000000000000000000000001000000100000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000010001000000000000000000100000000100000000000000000000000000000000000000000010000000010000000000000,"[1, 9, 0]"
