,correction,RID,smiles
0,,R179,*CC(*)C(C)=O
1,,R180,*CC(*)C(=O)C(C)C
2,,R181,*CC(*)(C)C(C)=O
3,,R197,*CC(*)C(=O)C(C)(C)C
4,,R212,*CC(*)(F)C(C)=O
5,,R775,*=CC(=O)C=*
6,,R994,*C(=O)CC(C)=O
7,,R1043,*CC(*)C(=O)CC
8,,R1046,*C=C(*)C(C)=O
9,,R1047,*C=C(*)C(=O)CC
10,,R1083,*C12CCC(CC1=O)C2(C)C
11,,R1089,*C1CCCC(*)(*)C1=O
12,,R1118,*C(C)(C)CC(C)=O
13,,R1126,*c1ccc2c(c1)C(=O)c1ccccc1C2=O
14,,R1182,*=CC(=O)C1c2ccccc2C(=O)c2ccccc21
15,,R1340,*C(=O)CCCCCC(=O)CCCCCCCCC(=O)CCCCCC(*)=O
16,,R1376,*c1ccc(C2(c3ccc(*)cc3)c3ccccc3C(=O)c3ccccc32)cc1
17,,R1378,*c1cc(*)c2cc(C3(c4ccc5nc(*)cc(*)c5c4)c4ccccc4C(=O)c4ccccc43)ccc2n1
18,,R1410,*=C1CCC(=*)C1=O
19,,R1411,*=C1CCCC(=*)C1=O
20,,R1412,*=C1CCCCC(=*)C1=O
21,,R1425,*C=CC(=O)C=*
22,,R1427,*C=CC(=O)C(=*)C
23,,R1428,*C=C1CCCC(=*)C1=O
24,,R1429,*C=C1CCC(=*)C1=O
25,,R1430,*C=C1CCCCC(=*)C1=O
26,,R1446,*NC1=C(Cl)C(=O)C(N*)=C(Cl)C1=O
27,,R1450,*OC1=CC(=O)C(*)=CC1=O
28,,R1552,*c1cc2c(s1)-c1sc(*)cc1C2=O
29,,R1556,*c1cccc2c1C(=O)c1cccc(*)c1C2=O
30,,R1557,*c1ccc(*)c2c1C(=O)c1ccccc1C2=O
31,,R1575,*c1cccc2c1C(=O)c1c(*)cccc1C2=O
32,,R1693,*=C1C=C(C(C)(C)C)C(=O)C(C(C)(C)C)=C1
33,,R1749,*C1C(=O)C2CCC1C(=O)C2*
34,,R1750,*C1CC(=O)C(*)CC1=O
35,,R1898,*C(C)C(C)=O
36,,R1931,*c1cccc2c1C(=O)c1ccccc1C2=O
37,,R1941,*c1ccc2c(c1)C(=O)c1cc(*)ccc1-2
38,,R2054,*n1cc2c(n1)C(=O)c1cn(*)nc1C2=O
39,,R2142,*NC1=C(Cl)C(=O)C(*)=C(Cl)C1=O
40,,R2143,*NC1=CC(=O)C(*)=CC1=O
41,,R2144,*NC1=C(O*)C(=O)C(*)=C(O*)C1=O
42,,R2157,*CCC(=O)C=C
43,,R2215,*CCC(=O)CC*
44,,R2252,*CC(=O)CC(*)*
45,,R2253,*CC(=O)C(*)*
46,,R2254,*CC(=O)C(*)C
47,,R2255,*CC(=O)C(*)C*
48,,R2256,*C1CCC(*)C1=O
49,,R2258,*C1CCC(*)C(=O)C1
50,,R2259,*CC(=O)C(C)C(*)*
51,,R2394,*CCC(=O)C(*)=S
52,,R2397,*CC(=O)C*
53,,R2398,*CC(=O)CC(*)=O
54,,R2399,*CC(=O)CC(*)=S
55,,R2400,*CC(=O)C(=S)c1ccc(*)s1
56,,R2401,*CC(=O)C(=S)c1ccc(*)cc1
57,,R2402,*CC(=O)C(=S)C(*)=O
58,,R2403,*CC(=O)C(=S)O*
59,,R2410,*CC(=S)C(=O)C(*)=S
60,,R2437,*NC(=S)C(=O)C(*)=S
61,,R2443,*CCC(=O)CC(*)=O
62,,R2452,*C(=S)C(=O)C(F)(F)C(*)(F)F
63,,R2457,*C(=O)C(F)(F)C(=O)C(*)(F)F
64,,R2458,*C(F)(F)C(=O)C(*)(F)F
65,,R2498,*C1CC2C(*)CC2(O)C1=O
66,,R2531,*CC(*)(C)C(=O)CCCCCC
67,,R2586,*CCCCCC(=O)CCCCCC(*)=O
68,,R2739,*=C1CN(C)CC(=*)C1=O
69,,R2967,*CC(=O)CCCCC(*)=O
70,,R2971,*CCC(=O)C(*)C*
71,,R2975,*CC(*)C1=CC=C2C=CC=CC=CC=C1C2=O
72,,R2979,*CC(=O)C(*)(C)C*
73,,R3116,*c1ccc([N+](=O)[O-])c2c1C(=O)c1c([N+](=O)[O-])ccc(*)c1C2=O
74,,R3152,*=C1C(=*)c2ccccc2C1=O
75,,R3306,*C#CC(=O)C(O)C#C[Si](*)(c1ccccc1)c1ccccc1
0,,R86,*C(*)=O
1,,R126,*CCC(*)=O
2,,R127,*C(=O)CC
3,,R128,*C(=O)CCC
4,,R129,*C(=O)CCCC
5,,R130,*C(=O)CCCCC
6,,R131,*C(=O)CCCCCCC
7,,R132,*CC(*)=O
9,,R159,*C(C)=O
10,,R160,*CC(*)(*)C(*)=O
11,,R161,*C(=O)C(F)(F)F
12,,R173,*CC(*)CC(*)(C#N)C(*)=O
13,,R176,*C(=O)CCCCCCCCCCC
14,,R177,*C(=O)CCCCCCCCCCCCCCC
15,,R178,*C(=O)CCCCCCCCCCCCCCCCC
16,,R186,*C=CC(C)C(*)C(*)=O
18,,R190,*OC=O
19,,R194,*C=CCC(C)(CC*)C(*)=O
20,,R198,*CC(*)C(*)=O
21,,R199,*C(=O)CCCCCCCCCCCCC
22,,R214,*C(=O)CCCC(*)=O
23,,R216,*CCCC(*)=O
24,,R217,*C(=O)C(C)(CC)C(C)(C)C
25,,R218,*C(=O)C(F)(F)C(F)(F)C(F)(F)F
26,,R220,*C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
27,,R221,*C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
28,,R222,*C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
29,,R223,*C(=O)C(F)(F)C(F)(F)F
30,,R224,*C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
31,,R225,*C(=O)C(C)(C(C)C)C(C)C
32,,R226,*C(=O)CC(*)(C)C
33,,R227,*C(=O)C(C)(C)CCC
34,,R228,*C(=O)C(C)(C)C(C)(C)CC
35,,R229,*C(=O)C(C)(C)C(C)C(C)C
36,,R230,*C(=O)C(C)(C)CC(C)(C)C
37,,R232,*C(=O)C(C)(C)C
38,,R237,*C(=O)CCl
39,,R241,*CC(*)(CC(*)=O)C(*)=O
42,,R247,*C(=O)CCCCCCCCC
44,,R259,*C(=O)CCCCCCCCCCCCCCCCCCCCC
46,,R283,*CC(*)(C)C(*)=O
47,,R294,*CC(*)(Cl)C(*)=O
48,,R298,*CC(*)(C#N)C(*)=O
50,,R323,*CC(*)(CC)C(*)=O
51,,R324,*CC(*)(F)C(*)=O
52,,R325,*CC(*)(CF)C(*)=O
53,,R330,*C(=O)C(*)*
54,,R333,*CCC(C(*)=O)C(*)C(*)=O
55,,R335,*CCCCCC(*)=O
60,,R343,*CC(*)(CCC(C)C(*)=O)C(*)=O
61,,R346,*CC(*)(CO)C(*)=O
62,,R402,*C=CC(C(*)=O)C(*)C(*)=O
63,,R413,*C(=O)CCC(*)*
64,,R439,*CCCCC(*)=O
65,,R440,*CCCCCCC(*)=O
66,,R441,*C(=O)CCCCC(*)=O
67,,R455,*C(=O)C(*)=O
68,,R456,*C(=O)CC(*)=O
69,,R457,*C(=O)C(C)C(*)=O
70,,R458,*C(=O)C(CCC)C(*)=O
71,,R459,*C(=O)C(CCCCC)C(*)=O
72,,R460,*C(=O)C(CCCCCCC)C(*)=O
73,,R461,*C(=O)CCC(*)=O
74,,R462,*C(=O)CCCCCCCCCCCCCCCCC(*)=O
76,,R480,*CC(C*)(C(*)=O)C(*)=O
77,,R497,*C(=O)CC(=*)c1cc(C)ccc1*
78,,R498,*C(=O)C=*
84,,R514,*C(=O)C(*)C
86,,R526,*C(=O)CCCCS(=O)(=O)CCCCC(*)=O
91,,R583,*SSC(*)=O
92,,R584,*C(=O)SSC(*)=O
94,,R593,*C(=O)C(*)O
95,,R596,*CCCCCC(=O)S*
96,,R598,*CCCCCCCCCCCCCCCC(*)=O
97,,R600,*C(=O)CC(=*)c1ccc(*)cc1
98,,R611,*C(=O)CCC=*
99,,R612,*C(=O)CC(*)C
100,,R613,*C(=O)CC(*)CCl
101,,R614,*CC(CC)(CC)C(*)=O
102,,R615,*CC(C)(C)C(*)=O
103,,R616,*C(=O)CC(*)CC
104,,R617,*CC(C)(CC)C(*)=O
105,,R618,*C(=O)CC(*)C(C)C
106,,R619,*CC(C)C(*)=O
107,,R620,*CC(C)(CCC)C(*)=O
108,,R621,*C(=O)CC(*)C(Cl)(Cl)Cl
109,,R622,*OC(=C)CC(*)=O
110,,R623,*C(=O)C(C)(C)C(*)*
111,,R624,*C(=O)CCC(C)CC(*)=O
112,,R625,*C(=O)C(O)C(O)C(*)=O
115,,R632,*CS(=O)(=O)CCCC(*)=O
116,,R633,*C(=O)C(*)(CC)CC
117,,R634,*C(=O)C(*)(C)C
118,,R635,*C(=O)C(*)C(C)C
119,,R636,*CCCC(C)CCC(*)=O
120,,R637,*CC(CCl)(CCl)C(*)=O
121,,R638,*CC(CCCC)(CCCC)C(*)=O
122,,R639,*C(=O)CC(*)C(C)(Cl)Cl
123,,R648,*CCC(C)CCC(*)=O
124,,R649,*C(=O)C(C)CCCC(*)C
125,,R651,*C(=O)CC(CC(*)=O)C(F)(F)C(F)(F)C(F)(F)F
127,,R657,*C(=O)C(*)C(*)C(*)=O
128,,R659,*OC(=*)C(C)(C)C(*)=O
129,,R661,*C(=O)C(=*)C#N
130,,R673,*C(=O)CCC(*)(*)C
131,,R675,*C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(*)=O
132,,R676,*C(=O)CCCCC(*)C
134,,R682,*C(=O)C(F)(F)C(F)(F)C(F)(F)C(*)=O
138,,R693,*C(=O)C(=*)C
139,,R695,*C(=O)CCC1(CCC(*)=O)c2ccccc2-c2ccccc21
140,,R696,*C(=O)CCP(=S)(CCC(*)=O)c1ccccc1
141,,R697,*C(=O)CCP(=O)(CCC(*)=O)c1ccccc1
142,,R699,*C(=O)CC(C)(C)CC(C)C(*)=O
144,,R707,*C(=O)CCC(*)C(*)=O
145,,R708,*CCCCC(C)CC(*)=O
146,,R709,*CC(C)CCCCC(*)=O
147,,R710,*CCCC(C)CC(*)=O
148,,R711,*C(=O)C(C)C(*)C
149,,R717,*CCCC(*)C(*)=O
150,,R718,*C(=O)C(*)CCCCN
151,,R720,*CCC(*)C(*)=O
152,,R721,*C(=O)CC(*)C(*)=O
153,,R733,*CC(*)C(*)C(*)=O
154,,R735,*C(=O)C(*)C(C)CC
155,,R736,*C(=O)C(*)CC(C)C
156,,R737,*CCCCC(*)C(*)=O
157,,R738,*CC(C)(CCCC)C(*)=O
158,,R741,*C(=O)CCP(C)(=O)CCC(*)=O
159,,R742,*CCCCCCCCCCCCCCCCCCCCCC(*)=O
160,,R744,*C(=O)C(CCCC)C(*)=O
162,,R750,*CCC(C)CCCC(*)=O
171,,R783,*C(=O)CS(=O)(=O)CCS(=O)(=O)CC(*)=O
172,,R784,*C(=O)CCS(=O)(=O)CCS(=O)(=O)CCC(*)=O
173,,R785,*C(=O)CCS(=O)(=O)CCC(*)=O
174,,R787,*CS(=O)(=O)CC(*)=O
175,,R788,*CS(=O)(=O)CCC(*)=O
176,,R806,*C(=O)SN1CCC(*)CC1
177,,R809,*C(=O)C(C)C
178,,R810,*C(=O)CC(C)C
179,,R811,*C(=O)CCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
181,,R813,*C(=O)C(Cl)Cl
182,,R814,*C(=O)C(Cl)(Cl)Cl
212,,R901,*C(=O)C(*)(C#N)C(*)*
213,,R902,*CC(*)C(*)C(*)(C#N)C(*)=O
216,,R951,*C=CC(C(*)=O)C(*)*
219,,R995,*C=CCC(C*)(C(*)=O)C(*)=O
220,,R996,*C(=O)C(CC)(CC)CC
221,,R997,*C(=O)C(CCC)(CCC)CCC
222,,R998,*C(=O)C(CCCC)(CCCC)CCCC
226,,R1019,*C=CC1C=CC(*)C(C(*)=O)=C1C(*)=O
229,,R1048,*C=C(*)C(*)=O
231,,R1061,*CC(C)(C=*)C(*)=O
232,,R1062,*C=CC(C)(C(*)=O)C(*)C
237,,R1095,*C(=O)CCC#N
244,,R1115,*CC(*)C(C(*)=O)C(*)C(*)=O
245,,R1116,*CC(*)C(C)(C(*)=O)C(*)(C)C(*)=O
246,,R1128,*C(=O)C(*)C(*)C
247,,R1132,*CC(*)C(C#N)(C#N)C(*)(C#N)C(*)=O
250,,R1164,*CC(*)(CCCCC)C(*)=O
253,,R1178,*CCC(C)C(*)(C)C(*)=O
254,,R1179,*CC(C)CC(*)(C)C(*)=O
258,,R1197,*CC(*)(C(*)=O)C(F)(F)F
260,,R1203,*CC(*)(CCC)C(*)=O
261,,R1204,*CC(*)(CCCCCCCC)C(*)=O
269,,R1296,*C(=O)CC(*)*
270,,R1312,*C(=O)C1=COC=C(*)O1
299,,R1470,*NC=CC(*)=O
304,,R1515,*C(=O)C(=C)C
306,,R1534,*C(=O)C(CCCCCBr)C(*)=O
307,,R1536,*OP(=O)(CCCCC(C(*)=O)C(*)=O)O*
308,,R1537,*C(=O)C(CCCCP(=O)(O)O)C(*)=O
309,,R1538,*OP(=O)(CCCCCC(C(*)=O)C(*)=O)O*
310,,R1539,*C(=O)C(CCCCCP(=O)(O)O)C(*)=O
311,,R1540,*OP(=O)(CCCCCCC(C(*)=O)C(*)=O)O*
312,,R1541,*C(=O)C(CCCCCCP(=O)(O)O)C(*)=O
313,,R1542,*OP(=O)(CCCCCCCCCCC(C(*)=O)C(*)=O)O*
314,,R1543,*C(=O)C(*)C(*)=O
327,,R1592,*C(=O)CNNCC(*)=O
337,,R1687,*C=C(C#N)C(*)=O
339,,R1722,*C(=O)C(C)Br
340,,R1740,*C(=O)C(C)(C)C(*)=O
341,,R1745,*C(=O)CC(C)(C)CC(*)=O
342,,R1746,*C(=O)CC(C)C(*)=O
343,,R1747,*C(=O)CC(*)C(C)(C)C
344,,R1753,*C(=O)CC(*)(C)C(F)(F)F
345,,R1754,*C(=O)CC(*)C=C
346,,R1756,*CC(*)CC(*)=O
347,,R1757,*CCC(*)CC(*)=O
348,,R1758,*C(=O)CC(*)CCCCCCC=C
349,,R1759,*C(=O)CC(*)CCCCC
352,,R1765,*CCC(C)CC(*)=O
356,,R1774,*C(=O)CC=*
357,,R1792,*C(=O)CC(N)C(*)=O
358,,R1798,*C(=O)CCC(C)C(*)=O
359,,R1799,*C(=O)CCC(C)(C)C(*)=O
361,,R1802,*C(=O)C(*)CC
362,,R1803,*C(=O)C1=C(C(*)=O)C2C=CC1C2
363,,R1804,*C(=O)C1=C(c2ccccc2)C2C=CC1C2
364,,R1805,*C(=O)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(*)=O
365,,R1807,*C(=O)CCC#CC#CCCC(*)=O
366,,R1809,*C(=O)C1=CCCCC(N2CCCC2)=C1C(*)=O
367,,R1812,*C(=O)CC(*)CC(*)=O
368,,R1823,*C(=O)C(C)C(C)C(*)=O
369,,R1824,*C(=O)C(CC)C(CC)C(*)=O
370,,R1834,*C(=O)CCCCCC(C)CC(*)=O
371,,R1835,*C(=O)CC(*)(C)CCC
372,,R1839,*C(=O)CCC(*)(C)C
373,,R1840,*C(=O)C(C)(C)C(*)C
375,,R1866,*C(=O)CCP(CCC(*)=O)c1ccccc1
376,,R1869,*C(=O)C(C)(C)C(*)C(C)C
377,,R1870,*C(=O)C(C)(C)C(*)(C)C
378,,R1871,*C(=O)C(O)C(O)C(O)C(O)C(*)=O
380,,R1874,*CCCCC(Cl)(Cl)C(*)=O
381,,R1888,*C(=O)CCCCCCCC(CCCCCCC)C(*)=O
382,,R1889,*C(=O)C(*)CO
385,,R1899,*C(=O)C(*)(C)CC
386,,R1902,*C(=O)C(CC)CC(CC)C(*)=O
387,,R1903,*C(=O)C(*)(F)F
388,,R1904,*CCCCC(N)C(*)=O
394,,R1968,*C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(*)=O
406,,R2026,*C(=O)C(C)(C)Br
407,,R2046,*C=CC1CC(*)C2(Cl)OC(=O)OC12Cl
408,,R2051,*CC(C)(C*)C(*)=O
409,,R2055,*C(=O)CO
410,,R2056,*C(=O)CCCCCO
419,,R2085,*NC1=C(C(*)=O)CC(*)=C(C(*)=O)C1
427,,R2095,*C(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
428,,R2096,*C(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
429,,R2097,*C(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
430,,R2098,*C(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
433,,R2116,*C(=O)CCCCCCCCC=C
434,,R2117,*C(=O)CCCCCCCCCCO
442,,R2163,*C=CC(*)=O
447,,R2218,*C(=O)C(*)(*)C(F)(F)F
448,,R2247,*C(=O)CP(=O)(O)O
450,,R2251,*N=P(*)(NC(C)C(*)=O)NC(C)C(*)=O
451,,R2257,*C(=O)C1=C(C(*)=O)C2CC1C(*)C2*
452,,R2261,*C(=O)C1=C(*)C2C=CC1C2
477,,R2290,*C(=O)C(*)(C#N)C(*)(C#N)C(*)=O
490,,R2390,*C(=O)C(*)=S
498,,R2411,*CC(=S)C(*)=O
499,,R2429,*C(=O)C(=S)c1ccc(*)s1
500,,R2430,*C(=O)C(=S)c1ccc(*)cc1
501,,R2431,*C(=O)C(=S)C(*)=O
503,,R2449,*C(=O)CC(F)(F)C(*)(F)F
505,,R2451,*C(=O)C(F)(F)C(*)(F)F
506,,R2455,*C(=O)C(F)(F)CC(*)(F)F
514,,R2505,*C(=O)C(=S)c1ccc(C(=S)c2ccc(*)s2)s1
516,,R2525,*C(=O)C(*)(*)C
517,,R2526,*C(=O)C(*)(*)Cl
518,,R2528,*CC(*)(Br)C(*)=O
519,,R2529,*CC(*)(C(*)=O)C(C)C
520,,R2530,*CC(*)(C(*)=O)C(*)=O
532,,R2642,*C(=O)CC(*)C(Cl)Cl
537,,R2736,*C(=O)C(CCCCCCCCCCBr)C(*)=O
538,,R2737,*O[Si](C)(C)CCCC(*)=O
539,,R2738,*C(=O)CCC[Si](*)(C)C
543,,R2874,*O[Si](*)(C)CCCCCCCCCCC(*)=O
544,,R2952,*CC(*)(Cl)CC(*)=O
545,,R2974,*C(=O)CCCO
546,,R2977,*C(=O)C(*)C(*)(F)F
549,,R2990,*C(=O)C(CC)C(*)=O
550,,R2992,*C(=O)C(C)CC(C)(C)C(*)=O
551,,R2993,*CC(C)(C)CS(=O)(=O)CC(C)(C)CC(*)=O
552,,R3005,*C(=O)C(*)C(*)(C)C(*)=O
553,,R3006,*C(=O)C(*)(C)C(*)F
554,,R3007,*CC(*)C(C(*)=O)C(*)=O
555,,R3008,*C(=O)C(=*)C(*)=O
556,,R3009,*C(=O)C(*)C(*)Cl
557,,R3011,*CCC(C)C(*)C(*)=O
568,,R3254,*O[Si](*)(C)CCCC(*)=O
569,,R3294,*O[Si](*)(C)CCCCC(*)=O
265,,R1238,*c1ccc2c(C)cc(=O)oc2c1
509,,R2470,*c1ccc2c(c1)nc1n2Cc2ccc3c4c2c-1ccc4c(=O)n1c2ccc(*)cc2nc31
236,,R1087,*c1ccc2ccc(=O)oc2c1
255,,R1183,*c1ccc2oc(=O)ccc2c1
165,,R755,*c1nc2ccccc2oc1=O
133,,R678,*c1ccc2nc(*)oc(=O)c2c1
391,,R1918,*c1c(*)c(=O)c1=O
374,,R1848,*c1ccc2c(c1)[nH]c(=O)c1cc(*)ccc12
331,,R1607,*c1ccc2oc(=O)c(*)cc2c1
303,,R1480,*c1ccc2c(*)c3ccc(=O)cc-3oc2c1
329,,R1604,*c1cc2cc(*)c(=O)oc2cc1*
13,,,*C(=O)C(CCCCCCCCCCC)C(*)=O
21,,,*C(=O)CCCCCCCC
22,,,*C(=O)C(CCCCCCCCCCCC)C(*)=O
28,,,*C(=O)C(CCCCCC)C(*)=O
32,,,*C(=O)CCCCCC
36,,,*C(=O)CCCCCCCCCCCC
56,,,*C(=O)C(CCCCCCCCCCCCCCC)C(*)=O
62,,,*CCCCCCCCCCCC(*)=O
67,,,*C(=O)CCCCCCCC(*)=O
84,,,*C(=O)CCCCCCCCCCCCCCCCCCC(*)=O
92,,,*C(=O)CC(*)CCCCCC
94,,,*CCCCCCCCCCCCCCCCC(*)=O
100,,,*C(=O)C(CCCCCCCCCCCCCC)C(*)=O
106,,,*C(=O)CCCCCCCCCCCCCCCCCCCCC(*)=O
130,,,*CCCCCCCCCCCCCCC(*)=O
148,,,*C1OCC(C)(C)CO1
173,,,*C(=O)C(CCCCCCCC)C(*)=O
175,,,*CCCCCC(C(*)=O)C(*)=O
191,,,*CCCCCCC(C(*)=O)C(*)=O
206,,,*CCCCCCCCCC(*)=O
208,,,*C(=O)CCCCCC(*)=O
217,,,*C(=O)C(CCCCCCCCCCCCC)C(*)=O
221,,,*CCCCCCCCCCCCC(*)=O
227,,,*C(=O)C(CCCCCCCCCCCCCCCCC)C(*)=O
228,,,*CCCCCCCCCCCCCCCCCC(*)=O
233,,,*C(=O)C(CCCCCCCCCCCCCCCCCC)C(*)=O
235,,,*C(=O)CCCCCCCCCCCCCCCC(*)=O
244,,,*C(=O)CCCCCCCCCCCCCCC(*)=O
246,,,*C(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
249,,,*CCCCCCCCC(*)=O
257,,,*C(=O)CCCCCCCCCC(*)=O
279,,,*C(=O)CCCCCCCCC(*)=O
282,,,*C(=O)CCCCCCCCCCCC(*)=O
289,,,*C(=O)C(CCCCCCCCC)C(*)=O
299,,,*C(=O)CCCCCCCCCCCCC(*)=O
301,,,*C(=O)C(CCCCCCCCCCCCCCCC)C(*)=O
318,,,*CCCCCCC(*)CC(*)=O
326,,,*C(=O)CCCCCCCCCCC(*)=O
336,,,*CCCCCCCC(*)=O
339,,,*C(=O)C(CCCCCCCCCC)C(*)=O
348,,,*C(=O)CCCCCCCCCC
353,,,*C(=O)CCCCCCC(*)=O
